DateTime,Entries,UniqueIPs
1497647784,50,50
1497649699,54,54
1497651891,53,53
1497653780,64,64
1497655703,54,54
1497657810,55,55
1497659771,52,52
1497661704,46,46
1497663647,58,58
1497665572,60,60
1497667460,70,70
1497669414,52,52
1497671316,70,70
1497673251,57,57
1497677051,73,73
1497678970,68,68
1497681176,56,56
1497683068,59,59
1497684981,62,62
1497686909,60,60
1497688854,52,52
1497690772,67,67
1497692658,59,59
1497694585,64,64
1497696506,67,67
1497698454,56,56
1497702260,62,62
1497704193,59,59
1497706114,62,62
1497708092,62,62
1497711781,57,57
1497713775,57,57
1497715691,61,61
1497717634,57,57
1497719562,42,42
1497721447,22,22
1497723389,23,23
1497725317,29,29
1497727287,44,44
1497729183,60,60
1497731071,48,48
1497732988,53,53
1497734911,56,56
1497736985,59,59
1497739028,40,40
1497740923,54,54
1497742819,57,57
1497744844,58,58
1497746666,60,60
1497748624,61,61
1497750515,57,57
1497756264,61,61
1497758188,51,51
1497760104,60,60
1497762109,45,45
1497764218,60,60
1497766118,47,47
1497768050,51,51
1497769978,66,66
1497771862,55,55
1497774067,65,65
1497777870,65,65
1497779793,53,53
1497783879,52,52
1497787718,53,53
1497789659,53,53
1497791565,48,48
1497793455,56,56
1497795662,57,57
1497799471,53,53
1497801388,50,50
1497803584,47,47
1497805482,37,37
1497807396,44,44
1497809326,32,32
1497813181,57,57
1497815069,61,61
1497817272,53,53
1497821323,45,45
1497823382,46,46
1497825650,66,66
1497827568,56,56
1497829458,63,63
1497831390,60,60
1497835264,65,65
1497837161,58,58
1497839060,55,55
1497840976,61,61
1497842896,63,63
1497844941,61,61
1497848671,62,62
1497850586,56,56
1497852520,51,51
1497854435,37,37
1497856378,62,62
1497858262,55,55
1497860239,59,59
1497862115,62,62
1497864060,56,56
1497865970,70,70
1497867872,49,49
1497869785,61,61
1497871714,66,66
1497873745,39,39
1497875568,47,47
1497879394,48,48
1497885162,53,53
1497887097,51,51
1497889000,37,37
1497890919,52,52
1497892867,39,39
1497894798,22,22
1497896918,26,26
1497898955,31,31
1497900783,33,33
1497903433,57,57
1497905309,70,70
1497907265,59,59
1497909148,56,56
1497911070,63,63
1497913010,53,53
1497914941,57,57
1497916875,62,62
1497918759,55,55
1497920675,50,50
1497922619,54,54
1497924534,59,59
1497926434,65,65
1497928351,63,63
1497930271,58,58
1497932471,58,58
1497934348,58,58
1497936265,63,63
1497938220,66,66
1497940134,62,62
1497942064,58,58
1497943953,59,59
1497947818,45,45
1497949697,53,53
1497951618,51,51
1497953552,55,55
1497955459,63,63
1497957404,59,59
1497959331,53,53
1497961260,53,53
1497963430,45,45
1497965346,46,46
1497967353,59,59
1497969165,52,52
1497971085,63,63
1497973013,54,54
1497975199,41,41
1497977079,63,63
1497979020,56,56
1497982840,46,46
1497984788,52,52
1497986669,58,58
1497988618,43,43
1497990526,52,52
